********************************************************************************
File created by the application RiderData for Android.
Creation date: 27/09/2024 15:05:26 WET
Developed by: Pedro Duarte
Version 2.1 September 2024
The RiderData application stores data from various sensors available on the smartphone, namely accelerometer, gyroscope, AHRS, and GPS. In addition, it records a video from the rear camera view of the phone.
Smartphone used:
Manufacturer - samsung
Model - SM-G781B
SDK Version - 36
Android Release - 16
***********************************************************************************************
CSV columns:
Sensor - Indicates which sensor collected the data;
Timestamp - Represents the moment (in milliseconds) when the data was collected;
Value_X - Represents X-axis values for accelerometer and gyroscope, represents pitch for AHRS, and latitude for GPS;
Value_Y - Represents Y-axis values for accelerometer and gyroscope, represents roll for AHRS, and longitude for GPS;
Value_Z - Represents Z-axis values for accelerometer and gyroscope, represents yaw for AHRS, and speed for GPS;

Sensor Description:
ACEL - Accelerometer;
GYRO - Gyroscope;
AHRS - Attitude and Heading Reference System;
GPS - Global Positioning System
***********************************************************************************************
Frequency Sampling:
Accelerometer - 403 Hz;
Gyroscope - 403 Hz;
AHRS - 201 Hz;
GPS - 1Hz;

Units of Measurement:
Accelerometer - acceleration in m/s^2;
Gyroscope - angular velocity in rad/s;
AHRS - degrees (all parameters);
GPS - minutes and seconds (Value_X and Value_Y), and km/h (Value_Z);
***********************************************************************************************
COLLECTED DATA
Sensor, Timestamp, Valor_X, Valor_Y, Valor_Z
GYRO,1727445926238,-0.15171918,0.07597413,-0.08124269
GYRO,1727445926242,-0.15110834,0.09552124,-0.092237934
GYRO,1727445926244,-0.1504975,0.11995513,-0.10017895
GYRO,1727445926246,-0.14561072,0.15416257,-0.10445488
GYRO,1727445926247,-0.14011309,0.19508934,-0.10567658
GYRO,1727445926249,-0.13461547,0.24395712,-0.105065726
GYRO,1727445926256,-0.12545276,0.30076593,-0.1007898
ACEL,1727445926259,3.557529,-0.5195416,9.562018
GYRO,1727445926260,-0.11506835,0.3575747,-0.09529217
ACEL,1727445926262,3.5359936,-0.541077,9.595518
GYRO,1727445926264,-0.105905645,0.41743773,-0.0904054
ACEL,1727445926265,3.5001013,-0.541077,9.633803
GYRO,1727445926267,-0.0936887,0.47302485,-0.083686076
ACEL,1727445926268,3.4450665,-0.5267201,9.684052
GYRO,1727445926270,-0.08452599,0.5225035,-0.076966755
ACEL,1727445926271,3.4331024,-0.53629136,9.739087
GYRO,1727445926273,-0.07230905,0.5652628,-0.07207998
ACEL,1727445926274,3.4043884,-0.53389853,9.77498
GYRO,1727445926276,-0.06253549,0.60130274,-0.0684149
GYRO,1727445926278,-0.053372778,0.6287909,-0.06291727
GYRO,1727445926279,-0.048486,0.6495597,-0.061695572
ACEL,1727445926280,3.4043884,-0.5027919,9.801301
ACEL,1727445926282,3.4187453,-0.4429713,9.842278
ACEL,1727445926283,3.4211383,-0.39032918,9.854242
GYRO,1727445926285,-0.042988375,0.6660526,-0.059252184
ACEL,1727445926286,3.4450665,-0.34247273,9.851849
GYRO,1727445926288,-0.040544987,0.68071294,-0.056808796
ACEL,1727445926290,3.461816,-0.30897322,9.835099
GYRO,1727445926291,-0.03749075,0.6947624,-0.056808796
ACEL,1727445926293,3.4761732,-0.28983065,9.77498
AHRS,1727445926295,2.9813232,-19.632544,-74.75866
AHRS,1727445926296,2.890971,-19.37301,-74.63363
GYRO,1727445926298,-0.036269058,0.7094227,-0.05619795
ACEL,1727445926300,3.4977086,-0.27756742,9.727123
GYRO,1727445926301,-0.036879905,0.72286135,-0.05803049
ACEL,1727445926303,3.5264223,-0.27996024,9.679267
GYRO,1727445926304,-0.03749075,0.7332458,-0.061695572
ACEL,1727445926306,3.557529,-0.3065804,9.650553
GYRO,1727445926307,-0.0381016,0.7454627,-0.067193195
ACEL,1727445926309,3.5910287,-0.34247273,9.621839
AHRS,1727445926310,2.717319,-19.184965,-74.610535
AHRS,1727445926312,2.5419862,-19.066431,-74.43856
GYRO,1727445926314,-0.03993414,0.7527929,-0.07269082
ACEL,1727445926315,3.6149569,-0.3592225,9.597911
GYRO,1727445926317,-0.042988375,0.75767964,-0.07941014
ACEL,1727445926319,3.6364923,-0.3687938,9.6122675
GYRO,1727445926320,-0.042377528,0.75523627,-0.08674031
ACEL,1727445926322,3.6487553,-0.39032918,9.6122675
GYRO,1727445926323,-0.042988375,0.74607354,-0.09834641
ACEL,1727445926325,3.6460636,-0.39750767,9.636196
AHRS,1727445926327,2.4040132,-19.00566,-74.47419
AHRS,1727445926329,2.333621,-18.985985,-74.422844
GYRO,1727445926330,-0.042377528,0.7308024,-0.1111742
ACEL,1727445926332,3.6412778,-0.38554356,9.700802
GYRO,1727445926333,-0.04176668,0.7100336,-0.12522368
ACEL,1727445926335,3.6197424,-0.36640096,9.746265
GYRO,1727445926336,-0.0381016,0.68010205,-0.13988402
ACEL,1727445926337,3.5910287,-0.33529428,9.796515
GYRO,1727445926339,-0.03077143,0.6434512,-0.15454435
ACEL,1727445926340,3.5431721,-0.29940194,9.835099
AHRS,1727445926342,2.3028395,-18.984596,-75.46882
AHRS,1727445926344,2.2922406,-18.978209,-75.462036
GYRO,1727445926345,-0.025884653,0.60496783,-0.16981554
ACEL,1727445926347,3.4713874,-0.25124636,9.870992
GYRO,1727445926348,-0.01977618,0.560376,-0.18508671
ACEL,1727445926350,3.394817,-0.19860429,9.87817
GYRO,1727445926351,-0.011835165,0.516395,-0.2003579
ACEL,1727445926352,3.2967114,-0.14596218,9.885348
AHRS,1727445926354,2.2684894,-18.94567,-75.2871
ACEL,1727445926355,3.2201412,-0.11246266,9.890134
GYRO,1727445926356,-0.0038941512,0.472414,-0.21135315
AHRS,1727445926358,2.2147026,-18.882267,-75.217705
GYRO,1727445926359,0.0028251687,0.42904383,-0.2211267
ACEL,1727445926360,3.167499,-0.083748795,9.875777
GYRO,1727445926362,0.0077119465,0.38811707,-0.22967857
ACEL,1727445926363,3.1028929,-0.059820566,9.827921
GYRO,1727445926365,0.01137703,0.35268793,-0.23823044
ACEL,1727445926366,3.0619156,-0.05742774,9.777372
GYRO,1727445926367,0.013820419,0.3288649,-0.24372806
ACEL,1727445926369,3.0355947,-0.076570325,9.715159
AHRS,1727445926371,2.1229901,-18.77718,-74.68375
AHRS,1727445926372,2.0012295,-18.632818,-74.5245
GYRO,1727445926374,0.015042114,0.30931777,-0.24800399
ACEL,1727445926375,3.0068808,-0.086141616,9.650553
ACEL,1727445926377,2.9662027,-0.1268196,9.576375
GYRO,1727445926378,0.012598725,0.29648998,-0.24983653
GYRO,1727445926380,0.010766183,0.2928249,-0.25044736
ACEL,1727445926382,2.935096,-0.16510476,9.504591
GYRO,1727445926383,0.009544488,0.2940466,-0.25105822
AHRS,1727445926384,1.8709908,-18.479198,-74.46854
AHRS,1727445926386,1.7542897,-18.332027,-74.30421
ACEL,1727445926387,2.8896325,-0.20338993,9.447163
GYRO,1727445926388,0.0071010995,0.30382016,-0.25105822
ACEL,1727445926389,2.856133,-0.24646074,9.401699
GYRO,1727445926390,0.0028251687,0.31542626,-0.2522799
ACEL,1727445926392,2.8034909,-0.29222345,9.370592
GYRO,1727445926393,9.926268E-4,0.33252996,-0.24922568
ACEL,1727445926394,2.7723842,-0.30418757,9.349057
ACEL,1727445926396,2.7293134,-0.3065804,9.339486
AHRS,1727445926397,1.6648196,-18.193762,-74.28052
AHRS,1727445926398,1.6104317,-18.053043,-74.171814
GYRO,1727445926399,-0.0026724567,0.35024455,-0.24739315
GYRO,1727445926400,-0.00633754,0.36673743,-0.24372806
ACEL,1727445926401,2.7221348,-0.29222345,9.344272
GYRO,1727445926402,-0.008780929,0.384452,-0.23945212
ACEL,1727445926404,2.719742,-0.25603202,9.365807
GYRO,1727445926405,-0.013667707,0.40094486,-0.23639789
ACEL,1727445926406,2.7125635,-0.2416751,9.353843
GYRO,1727445926407,-0.023441264,0.41988114,-0.2327328
AHRS,1727445926408,1.5881028,-17.898645,-73.834465
AHRS,1727445926409,1.5798616,-17.727688,-73.762375
ACEL,1727445926410,2.7221348,-0.2321038,9.38495
GYRO,1727445926411,-0.033825666,0.44187164,-0.22845687
ACEL,1727445926412,2.7293134,-0.22253251,9.365807
GYRO,1727445926414,-0.04421007,0.4736357,-0.22295925
ACEL,1727445926415,2.7436702,-0.20578274,9.3155575
GYRO,1727445926416,-0.053983625,0.5133408,-0.21685077
ACEL,1727445926417,2.774777,-0.19860429,9.250652
GYRO,1727445926418,-0.0600921,0.5640411,-0.21440738
ACEL,1727445926419,2.7843482,-0.20578274,9.195618
